{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 0, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 1.0 ; 0.8773333333333333 ; 0.8257079152731327 ; 4537.46875
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 1, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 0.99 ; 0.9031111111111111 ; 0.8666220735785953 ; 5479.25
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 2, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 1.0 ; 0.8417777777777777 ; 0.749721293199554 ; 3046.5625
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 3, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 1.0 ; 0.9253333333333333 ; 0.8898327759197324 ; 1570.015625
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 4, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 0.98 ; 0.9075555555555556 ; 0.8660200668896321 ; 5242.6875
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 5, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 1.0 ; 0.8755555555555555 ; 0.7888740245261985 ; 2933.828125
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 6, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 0.98 ; 0.8577777777777778 ; 0.7569899665551839 ; 3258.46875
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 7, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 0.98 ; 0.8702222222222222 ; 0.7950947603121516 ; 4141.296875
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 8, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 1.0 ; 0.8702222222222222 ; 0.8214492753623188 ; 3552.921875
{'--nb_criteria': 11, '--nb_profiles': 3, '--nb_alternatives': 50, '--eval_on_test_set_1': True, '--nb_alternatives_test_set_2': 300, '--nb_comparisons': 100, '--debug_mode': False, '--random_seed': 9, '--output_directory': '.', '--mutation_random_profile_perturbation__perturbation_scale': 0.1, '--mutation_random_profile_perturbation__individual_criterion_proba': 1.0, '--mutation_random_weights_perturbation__perturbation_scale': 0.1, '--mutation_random_weights_perturbation__individual_criterion_proba': 1.0, '--mutation_shrink_profiles__shrink_factor': 0.7, '--mutation_shrink_profiles__individual_criterion_proba': 1.0, '--mutation_expand_profiles__expand_factor': 0.7, '--mutation_expand_profiles__individual_criterion_proba': 1.0, '--prepare_new_population__elitism_ratio': 0.4, '--prepare_new_population__random_ratio': 0.1, '--select_solutions__nb_solutions': 2, '--select_solutions__strategy': 'DPP', '--select_solutions__similarity_metric': 'l1-norm', '--make_crossover__crossover_swap_weights_probability': 0.0, '--make_crossover__crossover_swap_orders_probability': 0.0, '--make_crossover__crossover_swap_profiles_probability': 0.0, '--make_crossover__crossover_mix_criteria_probability': 0.5, '--make_crossover__crossover_mix_criteria_and_weights_probability': 0.5, '--make_mutation__mutation_random_profile_perturbation_probability': 0.0, '--make_mutation__mutation_random_weights_perturbation_probability': 0.2, '--make_mutation__mutation_shrink_profiles_probability': 0.2, '--make_mutation__mutation_expand_profiles_probability': 0.0, '--make_mutation__mutation_partially_reverse_order_probability': 0.2, '--keep_or_drop_children__survival_probability': 0.0, '--estimate_decision_maker__return_k_best': 1, '--estimate_decision_maker__population_size': 300, '--estimate_decision_maker__stop_after_non_evolving': 50, '--estimate_decision_maker__check_identical_ratio': 0.1, '--estimate_decision_maker__nb_profiles': 3} ; 0.97 ; 0.8755555555555555 ; 0.7770122630992197 ; 5643.84375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
